timestamp,duration,session_id,source_ip,source_port,destination_ip,destination_port,protocol,num_auth_attempts
2022-05-14 16:23:02.410080,0,201cc405-e25c-44d0-ae99-fc2b9752144c,205.210.31.9,61863,34.121.180.85,5900,vnc,0
2022-05-14 16:40:03.309216,0,90c51a81-cf8e-48a6-a7a3-a6b998412d5b,27.124.32.182,51026,34.121.180.85,110,pop3,0
2022-05-14 16:40:03.722422,20,d46df861-5c99-4eb1-b01e-399214a85a50,27.124.32.182,51162,34.121.180.85,110,pop3,0
2022-05-14 16:40:24.481511,20,1b3be87b-cc85-4d26-a519-4c8fe8516f7c,27.124.32.182,57070,34.121.180.85,110,pop3,0
2022-05-14 16:40:44.938619,20,9cd974a9-c950-4ca1-bcda-66a7824c5a14,27.124.32.182,35558,34.121.180.85,110,pop3,0
2022-05-14 16:41:05.432136,20,aca880b6-3063-47a2-9ada-9a22c3f76323,27.124.32.182,43164,34.121.180.85,110,pop3,0
2022-05-14 17:10:12.578290,0,f3d83f88-9bfe-4ae3-825a-0feeb7b41982,192.241.212.165,37102,34.121.180.85,5900,vnc,0
2022-05-14 17:25:07.188824,0,009ef595-0998-47a6-8a46-09b1a70d971f,207.154.246.34,60552,34.121.180.85,5900,vnc,0
2022-05-14 17:31:35.689623,0,29d0410f-2303-4f0f-9912-12adc086c0f1,207.154.246.34,34752,34.121.180.85,5900,vnc,0
2022-05-14 17:38:08.127371,0,9c78cc76-b432-4f64-9433-d4586c334503,207.154.246.34,37208,34.121.180.85,5900,vnc,0
2022-05-14 17:44:54.845087,22,ad5d816f-9199-4169-b52d-128db0748112,207.154.246.34,39640,34.121.180.85,5900,vnc,0
2022-05-14 20:01:51.897968,0,c1fd2305-f53a-4229-a8a0-5df20bfedf80,207.154.246.34,42098,34.121.180.85,5900,vnc,0
2022-05-14 20:01:51.899723,0,f0ac0b67-eb9b-4587-878e-1db23caccc8a,207.154.246.34,44556,34.121.180.85,5900,vnc,0
2022-05-14 20:01:51.900219,0,1d446abe-22b0-4438-afb9-13454cc2cb0c,207.154.246.34,47008,34.121.180.85,5900,vnc,0
2022-05-14 20:01:51.900599,0,937713a3-8317-4eb8-a235-63e394bd3966,207.154.246.34,49448,34.121.180.85,5900,vnc,0
2022-05-14 20:01:51.901074,0,6bbd9c0b-a92e-4dae-b5ef-f0af22b1cb13,207.154.246.34,51876,34.121.180.85,5900,vnc,0
2022-05-14 20:01:51.910722,0,2a8d43a9-fd06-4140-8411-d063cfc53c58,2.57.122.86,53294,34.121.180.85,143,imap,0
2022-05-14 20:01:51.910948,0,8672d842-5290-4f58-9ab8-69e5250dbbbd,2.57.122.86,34344,34.121.180.85,143,imap,0
2022-05-14 20:01:51.911153,0,b1dde67d-635b-40c3-9256-e153a6b61c50,2.57.122.86,49784,34.121.180.85,110,pop3,0
2022-05-14 20:01:51.911334,0,7d27f9a9-c189-488b-9bf0-cb8abea72e8b,2.57.122.86,36532,34.121.180.85,110,pop3,0
2022-05-14 20:01:51.911685,0,04d0a5ae-2866-435e-b6fb-3ff73d651a28,2.57.122.86,44618,34.121.180.85,1080,socks5,0
2022-05-14 20:01:51.911512,0,a52ea452-468d-44f1-89b3-aa20a62928d5,2.57.122.86,38700,34.121.180.85,5432,postgresql,0
2022-05-14 20:42:45.280425,0,e79c808f-4071-4c1a-a755-02a222bb3c09,193.56.29.176,25878,34.121.180.85,5900,vnc,1
2022-05-14 20:42:46.015329,0,cafd9d5c-414b-4d57-ba18-f18a2ee48500,193.56.29.176,28360,34.121.180.85,5900,vnc,1
2022-05-14 20:42:46.859091,0,79f87718-2e6f-45c0-95fb-409f722cc9a0,193.56.29.176,34455,34.121.180.85,5900,vnc,1
2022-05-14 20:42:47.707080,0,757771e2-7888-4b87-a498-c4f62338678c,193.56.29.176,39758,34.121.180.85,5900,vnc,1
2022-05-14 20:42:48.579711,0,b66ed8c8-4845-4a23-bbf4-b866844b0b67,193.56.29.176,44865,34.121.180.85,5900,vnc,1
2022-05-14 20:42:49.441614,0,191c2e01-ef56-4107-ab2b-86a4fd3af4d3,193.56.29.176,50132,34.121.180.85,5900,vnc,1
2022-05-14 20:42:50.306083,0,91d21674-70cf-4abf-b162-5e90c088dfea,193.56.29.176,55359,34.121.180.85,5900,vnc,1
2022-05-14 20:42:51.197797,0,f0125eba-086b-4e2b-9c53-5fe1eb87b552,193.56.29.176,1583,34.121.180.85,5900,vnc,1
2022-05-14 20:42:52.050970,0,f95a100c-c23b-4082-a0f3-68a14862b421,193.56.29.176,7109,34.121.180.85,5900,vnc,1
2022-05-14 20:42:52.711539,0,24fa5980-a34c-4931-b7de-1eebcc3243b6,193.56.29.176,12362,34.121.180.85,5900,vnc,1
2022-05-14 20:42:53.569203,0,db440d2b-86e7-405c-8aaf-2ec104f437d0,193.56.29.176,16417,34.121.180.85,5900,vnc,1
2022-05-14 20:42:54.426076,0,84fe0481-fcdc-49f6-b4d9-2f9d13dcfdfe,193.56.29.176,21648,34.121.180.85,5900,vnc,1
2022-05-14 20:42:55.281103,0,b7d57c3f-04f2-43a6-bc0b-0eb695bb2953,193.56.29.176,26888,34.121.180.85,5900,vnc,1
2022-05-14 20:42:56.122665,0,eee3bcc4-e4d7-4321-95e6-26a0e66b7e1e,193.56.29.176,32135,34.121.180.85,5900,vnc,1
2022-05-14 20:42:57.000758,0,e8bfd9f7-25b6-4d23-8c7a-f0e6645eb3e3,193.56.29.176,37311,34.121.180.85,5900,vnc,1
2022-05-14 20:42:57.869349,0,5eec2417-a331-4d5d-9222-5e892eca17f7,193.56.29.176,42779,34.121.180.85,5900,vnc,1
2022-05-14 20:43:01.507730,0,284d57a1-ef87-4367-a9cd-4cce8294261e,193.56.29.176,47981,34.121.180.85,5900,vnc,1
2022-05-14 20:43:02.448763,0,a6220e5e-27a9-4386-be05-cce4d0375950,193.56.29.176,11514,34.121.180.85,5900,vnc,1
2022-05-14 20:43:03.315731,0,a6a73c35-1881-4d2b-8c49-2fcb800e4529,193.56.29.176,17183,34.121.180.85,5900,vnc,1
2022-05-14 20:43:04.176995,0,c18af54c-5006-410a-bf12-f9e418da1769,193.56.29.176,22548,34.121.180.85,5900,vnc,1
2022-05-14 20:43:05.039648,0,35bb5da8-7719-4929-a8e6-5b3a5e1ddbe6,193.56.29.176,27707,34.121.180.85,5900,vnc,1
2022-05-14 20:43:05.907865,0,af928d14-578d-4299-8305-f63bbe2e7564,193.56.29.176,33019,34.121.180.85,5900,vnc,1
2022-05-14 20:43:06.768183,0,8103d975-7a13-43d9-8d9b-8e4faa1a4dfb,193.56.29.176,38436,34.121.180.85,5900,vnc,1
2022-05-14 20:43:07.633239,0,97188a6b-46de-4a95-9373-1ca4116798c6,193.56.29.176,43715,34.121.180.85,5900,vnc,1
2022-05-14 20:43:08.551135,0,2aa373c7-1a15-4804-aa6f-537a1553dded,193.56.29.176,49125,34.121.180.85,5900,vnc,1
2022-05-14 20:43:09.423440,0,30c8d57f-09fe-406b-a2d4-0b31e0d38c3e,193.56.29.176,54691,34.121.180.85,5900,vnc,1
2022-05-14 20:43:10.270927,0,8ed0cd4d-e4f9-44a5-a4d3-f8d1a2fdf780,193.56.29.176,59976,34.121.180.85,5900,vnc,1
2022-05-14 20:43:11.142029,0,5ec190c5-eaff-4991-9993-ebd26b5f6119,193.56.29.176,6223,34.121.180.85,5900,vnc,1
2022-05-14 20:43:11.997329,0,21f40009-6acf-4510-a4f9-01f1929c38d2,193.56.29.176,11676,34.121.180.85,5900,vnc,1
2022-05-14 20:43:12.851905,0,75247d0f-0447-41b1-ae19-51146673ab7f,193.56.29.176,16838,34.121.180.85,5900,vnc,1
2022-05-14 20:43:13.715794,0,aefabc24-028c-4f5e-9bce-95f71c235593,193.56.29.176,22008,34.121.180.85,5900,vnc,1
2022-05-14 20:43:14.601547,0,8ee218d7-d51f-477a-8844-a36b63f8c3ac,193.56.29.176,27285,34.121.180.85,5900,vnc,1
2022-05-14 20:43:15.471504,0,04483b41-14d3-452d-aa83-3f4957bff97c,193.56.29.176,32816,34.121.180.85,5900,vnc,1
2022-05-14 20:43:16.346249,0,9bdfa58b-6e45-4bd9-9c87-5d4f00341895,193.56.29.176,38147,34.121.180.85,5900,vnc,1
2022-05-14 20:43:16.993177,0,5e441441-2ef9-454b-acf1-be38b1d8bddb,193.56.29.176,43565,34.121.180.85,5900,vnc,1
2022-05-14 20:43:17.857654,0,fead5096-6a1b-4aff-9ab3-e0258e83aa30,193.56.29.176,47638,34.121.180.85,5900,vnc,1
2022-05-14 20:43:18.714005,0,6af9a7aa-3613-444e-a530-681ddf3f699a,193.56.29.176,52989,34.121.180.85,5900,vnc,1
2022-05-14 20:43:19.574104,0,73030d76-45c0-49b8-9e81-6f8578f08682,193.56.29.176,58320,34.121.180.85,5900,vnc,1
2022-05-14 20:43:20.308793,0,779deaa0-6e4d-4091-9930-ff7e066682c4,193.56.29.176,4645,34.121.180.85,5900,vnc,1
2022-05-14 20:43:21.158168,0,7495bc8f-4049-4498-ac3d-c79e2c654a84,193.56.29.176,9044,34.121.180.85,5900,vnc,1
2022-05-14 20:43:22.016906,0,0ffd5592-1d14-49f1-92a0-3e9cce98d633,193.56.29.176,14525,34.121.180.85,5900,vnc,1
2022-05-14 20:43:22.877295,0,df11be76-d147-41ab-9fe7-26e36384d62f,193.56.29.176,19708,34.121.180.85,5900,vnc,1
2022-05-14 20:43:23.727954,0,2b7b15d9-2138-4f4e-be92-43fc976a1d44,193.56.29.176,24945,34.121.180.85,5900,vnc,1
2022-05-14 20:43:24.574319,0,ade22ccd-7d7a-4c43-b3c9-5597654ef008,193.56.29.176,30232,34.121.180.85,5900,vnc,1
2022-05-14 20:43:25.426590,0,340c43ef-1dcf-41ee-b353-cc240921d2c3,193.56.29.176,35360,34.121.180.85,5900,vnc,1
2022-05-14 20:43:26.284280,0,1645c5d9-d5e6-48b3-856b-5a3b6c0f756e,193.56.29.176,40564,34.121.180.85,5900,vnc,1
2022-05-14 20:43:27.158499,0,a80ddb84-53ef-40d6-9d9f-94aa0a49ae14,193.56.29.176,45660,34.121.180.85,5900,vnc,1
2022-05-14 20:43:27.912339,0,f3b7520a-94f1-430b-a0d1-cbf8f9aabcbe,193.56.29.176,51160,34.121.180.85,5900,vnc,1
2022-05-14 20:43:28.792219,0,f7de2fe0-9041-45cb-b08a-726c2ed5500d,193.56.29.176,55962,34.121.180.85,5900,vnc,1
2022-05-14 20:43:29.663884,0,4f71fdec-4f4e-454b-8e5a-67db9dfca164,193.56.29.176,2484,34.121.180.85,5900,vnc,1
2022-05-14 20:43:30.534137,0,633f1b36-7f22-474d-8bc0-6ccf3e25a5a2,193.56.29.176,7837,34.121.180.85,5900,vnc,1
2022-05-14 20:43:31.185595,0,2cd5750c-d8ea-4710-b3e7-033610f2e5ee,193.56.29.176,13052,34.121.180.85,5900,vnc,1
2022-05-14 20:43:32.030166,0,2edac890-c7dc-4a2d-b9fa-130d4708df42,193.56.29.176,17152,34.121.180.85,5900,vnc,1
2022-05-14 20:43:32.685547,0,6b814444-8cf6-4cc4-9de5-78ee0d80166b,193.56.29.176,22555,34.121.180.85,5900,vnc,1
2022-05-14 20:43:33.562122,0,aae8521f-b3e5-43b4-9373-73c83e5fd771,193.56.29.176,26632,34.121.180.85,5900,vnc,1
2022-05-14 20:43:34.216685,0,672bed7e-7519-400b-b06f-f1a981f816dc,193.56.29.176,31906,34.121.180.85,5900,vnc,1
2022-05-14 20:43:35.077709,0,c93dab2f-5fef-4fc8-9f2c-b7aadc6bc209,193.56.29.176,36023,34.121.180.85,5900,vnc,1
2022-05-14 20:43:38.726026,0,25216649-23d8-4435-9b17-c27a2a02be52,193.56.29.176,41541,34.121.180.85,5900,vnc,1
2022-05-14 20:43:39.573400,0,444e70c2-f343-4bff-94f5-7c081fbf1ae9,193.56.29.176,5132,34.121.180.85,5900,vnc,1
2022-05-14 20:43:40.468777,0,2d343253-cce2-4ff0-8da7-dfcc66b897d1,193.56.29.176,10562,34.121.180.85,5900,vnc,1
2022-05-14 20:43:41.322253,0,88809589-27d9-4155-ad17-6ad829d9b757,193.56.29.176,15781,34.121.180.85,5900,vnc,1
2022-05-14 20:43:42.181245,0,95705a95-5ede-46e2-baa1-8b28a249b72d,193.56.29.176,21181,34.121.180.85,5900,vnc,1
2022-05-14 20:43:43.055404,0,7ea59e66-3c40-448a-bf7d-ecb3b4d98d20,193.56.29.176,26374,34.121.180.85,5900,vnc,1
2022-05-14 20:43:43.921089,0,5cad560d-2811-4bb5-862c-f13282b0ff43,193.56.29.176,31976,34.121.180.85,5900,vnc,1
